Vin_A,Vin_B,temp,pvdd,cqload,lmin,wmin,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,leakage
0.0,0.0,43.78643070691845,0.9623591763988204,1.2552133197397764e-15,4.1604509548446296e-08,4.5832571913615656e-08,9.208131945807039e-10,8.646252620808691e-10,9.37952335142663e-10,9.35726984699511e-10,9.52476835802887e-10,8.681006399174605e-10,6.871377818450326e-10,1.4448323585948308e-08,1.3771461656225921e-08,6.774605858544042e+18,2.756889910566933e+18,1.106387e-08
0.0,1.0,43.78643070691845,0.9623591763988204,1.2552133197397764e-15,4.1604509548446296e-08,4.5832571913615656e-08,9.208131945807039e-10,8.646252620808691e-10,9.37952335142663e-10,9.35726984699511e-10,9.52476835802887e-10,8.681006399174605e-10,6.871377818450326e-10,1.4448323585948308e-08,1.3771461656225921e-08,6.774605858544042e+18,2.756889910566933e+18,9.27826e-09
1.0,0.0,43.78643070691845,0.9623591763988204,1.2552133197397764e-15,4.1604509548446296e-08,4.5832571913615656e-08,9.208131945807039e-10,8.646252620808691e-10,9.37952335142663e-10,9.35726984699511e-10,9.52476835802887e-10,8.681006399174605e-10,6.871377818450326e-10,1.4448323585948308e-08,1.3771461656225921e-08,6.774605858544042e+18,2.756889910566933e+18,1.019468e-08
1.0,1.0,43.78643070691845,0.9623591763988204,1.2552133197397764e-15,4.1604509548446296e-08,4.5832571913615656e-08,9.208131945807039e-10,8.646252620808691e-10,9.37952335142663e-10,9.35726984699511e-10,9.52476835802887e-10,8.681006399174605e-10,6.871377818450326e-10,1.4448323585948308e-08,1.3771461656225921e-08,6.774605858544042e+18,2.756889910566933e+18,9.782505e-09
0.0,0.0,73.73408594703551,1.039268697763092,1.145076338961357e-15,4.5562529879730233e-08,4.598388661705875e-08,8.95212796855612e-10,9.390428421499424e-10,9.063449103819563e-10,9.099929004938115e-10,8.886413586680054e-10,9.42366621285933e-10,6.333611138457022e-10,1.4620229328385184e-08,1.386966155433676e-08,6.608224617251543e+18,2.741527579172752e+18,4.216269e-09
0.0,1.0,73.73408594703551,1.039268697763092,1.145076338961357e-15,4.5562529879730233e-08,4.598388661705875e-08,8.95212796855612e-10,9.390428421499424e-10,9.063449103819563e-10,9.099929004938115e-10,8.886413586680054e-10,9.42366621285933e-10,6.333611138457022e-10,1.4620229328385184e-08,1.386966155433676e-08,6.608224617251543e+18,2.741527579172752e+18,5.689571e-09
1.0,0.0,73.73408594703551,1.039268697763092,1.145076338961357e-15,4.5562529879730233e-08,4.598388661705875e-08,8.95212796855612e-10,9.390428421499424e-10,9.063449103819563e-10,9.099929004938115e-10,8.886413586680054e-10,9.42366621285933e-10,6.333611138457022e-10,1.4620229328385184e-08,1.386966155433676e-08,6.608224617251543e+18,2.741527579172752e+18,4.984594e-09
1.0,1.0,73.73408594703551,1.039268697763092,1.145076338961357e-15,4.5562529879730233e-08,4.598388661705875e-08,8.95212796855612e-10,9.390428421499424e-10,9.063449103819563e-10,9.099929004938115e-10,8.886413586680054e-10,9.42366621285933e-10,6.333611138457022e-10,1.4620229328385184e-08,1.386966155433676e-08,6.608224617251543e+18,2.741527579172752e+18,8.104789e-09
0.0,0.0,53.49740769289589,0.9755503678584962,1.757606290604507e-15,4.4876484529812974e-08,4.4615024796779284e-08,8.959889532099466e-10,9.268578081866979e-10,8.788523594247764e-10,9.38483034797166e-10,8.9377262597764e-10,9.414401753807062e-10,6.666181264287903e-10,1.3618503221112428e-08,1.4586947301498153e-08,6.486555156077027e+18,2.959678081037688e+18,5.001234e-09
0.0,1.0,53.49740769289589,0.9755503678584962,1.757606290604507e-15,4.4876484529812974e-08,4.4615024796779284e-08,8.959889532099466e-10,9.268578081866979e-10,8.788523594247764e-10,9.38483034797166e-10,8.9377262597764e-10,9.414401753807062e-10,6.666181264287903e-10,1.3618503221112428e-08,1.4586947301498153e-08,6.486555156077027e+18,2.959678081037688e+18,5.636469e-09
