Vin_A,Vin_B,temp,pvdd,cqload,toxe_n,toxm_n,toxref_n,toxe_p,toxm_p,toxref_p,toxp_par,xj_n,xj_p,ndep_n,ndep_p,leakage,delay
0.0,0.0,12.255347324005726,1.0459996621979941,3.1943413961771476,8.359236584659218e-10,9.751980907348907e-10,9.483550215918691e-10,7.70835919993234e-10,9.678137709266717e-10,9.827984260356542e-10,6.687324373810092e-10,1.1887203967979923e-08,1.2258098666502269e-08,6.434347711467794e+18,2.526877027901446e+18,1.671073774042425e-08,9.301030302069913
1.0,1.0,4.924177321652593,0.9369023991197424,2.3018693431356234,7.840837148911627e-10,8.856073291047201e-10,9.837998762744645e-10,9.704401733978532e-10,7.9689851964555e-10,9.904217997899618e-10,6.595851804258628e-10,1.2173293430823514e-08,1.3926684437327432e-08,5.831892135531994e+18,2.9897016059749074e+18,1.539793585156301e-08,6.059453551461468
0.0,0.0,-23.29229574948519,0.9693279388739773,4.822847639071065,7.920952431429428e-10,8.096482651005751e-10,8.776476883462662e-10,8.233241258938895e-10,1.0004018040075374e-09,8.561065697258818e-10,6.296762814325669e-10,1.3490260565905045e-08,1.423462235250233e-08,6.796713769462358e+18,2.8759217012399974e+18,1.4856095226452162e-08,3.3341549951522342
0.0,1.0,54.308000618267826,1.0326561273715638,1.1027024704113486,8.058904665579542e-10,9.471070137989636e-10,8.334513978450455e-10,8.321200905463906e-10,9.741789252726215e-10,8.188342034771867e-10,6.538461518423387e-10,1.55811179479502e-08,1.3796360453612895e-08,6.093552447914183e+18,2.898569200281745e+18,1.494352208780633e-08,8.82523083551488
0.0,1.0,30.792348891553203,0.996417868904896,2.943403515834714,8.117279469286968e-10,8.66344246463557e-10,8.409870298862872e-10,8.174663007006118e-10,9.933887377512673e-10,8.086819069177867e-10,6.320664280263658e-10,1.2034769597190474e-08,1.3836620667353635e-08,6.309340369908013e+18,2.610940434756758e+18,1.4758166098825933e-08,6.188028963885454
1.0,0.0,100.82617861832065,1.0477142077269788,3.5040479748012108,8.215344995394782e-10,9.110353807969342e-10,9.37024857624556e-10,9.733813246263785e-10,8.325536793555751e-10,9.840160863063876e-10,6.818483270312859e-10,1.4665759399346833e-08,1.2390902285258088e-08,6.040685930568301e+18,2.8707780716275446e+18,1.4397073173835622e-08,3.8909824544994254
0.0,1.0,-49.22027551322952,1.092241580244572,4.129566801833454,8.248868473567276e-10,7.872453837041804e-10,9.041597406338401e-10,1.0086411068332008e-09,8.452347645431994e-10,8.187305207202054e-10,7.119550406122699e-10,1.3794851744678246e-08,1.4166198487852879e-08,6.987208881437013e+18,2.971242939488299e+18,1.4355487020582978e-08,7.130661073142642
0.0,1.0,60.89622695992274,0.9233093375430396,2.040785441835755,8.757519517538341e-10,9.20422333337062e-10,8.835695092682233e-10,9.518174093362289e-10,8.79361060374229e-10,8.948331178878395e-10,7.037720542631376e-10,1.2852687741116487e-08,1.5705500080062257e-08,6.667896571257708e+18,2.6572912356290504e+18,1.5843332707501225e-08,8.585100146390234
0.0,0.0,82.33079813208101,1.0419135432796123,3.4377403192108327,8.894315904698144e-10,8.548818241920616e-10,8.115046160091482e-10,9.691887765591743e-10,8.169469693106211e-10,8.44261777901972e-10,6.279177119732388e-10,1.3019857797353175e-08,1.570158518702679e-08,6.072305055054254e+18,3.113040401904439e+18,1.5610434655298084e-08,0.22909755845336832
1.0,0.0,81.70758245389527,0.9460688311264229,1.5229753422075711,8.384553188640943e-10,8.448841964284975e-10,9.823657446247216e-10,9.176071169719118e-10,8.782173376108237e-10,8.867296013306936e-10,6.566013139543388e-10,1.1823043867887196e-08,1.3151016710044926e-08,6.070369827139082e+18,2.704483164282552e+18,1.56203780374947e-08,2.9707576449065023
0.0,0.0,104.49331407719453,0.9828953454815139,2.183025700885483,9.90453290659865e-10,1.0088985570095614e-09,9.583791936668812e-10,8.943088267327056e-10,7.623372281362856e-10,8.478248226670475e-10,5.718115708896854e-10,1.4580684438130983e-08,1.4694791388497878e-08,6.120806329577171e+18,2.6919792563514947e+18,1.5254689817624572e-08,2.224516502380248
0.0,0.0,76.22607370930893,0.906572545159028,4.479179384704962,9.004974897280945e-10,8.698373832611028e-10,7.957222048417643e-10,9.432808132167908e-10,9.828942890351895e-10,8.344089738808562e-10,7.179472836681404e-10,1.2138683604454313e-08,1.3527197486457984e-08,7.34952771282038e+18,2.7107773240219817e+18,1.6262163503523734e-08,3.207957926333116
0.0,1.0,112.00581109658535,0.9271814764585398,4.750038970561462,9.600191397204854e-10,9.322217480413964e-10,8.533166674689427e-10,7.690837712167799e-10,8.012226861986125e-10,8.685400423249106e-10,6.117172903948302e-10,1.1871213233116642e-08,1.2290683536654026e-08,6.535996382592632e+18,3.0815876297989827e+18,1.492290998861095e-08,8.367482513651218
0.0,0.0,4.878187967760461,0.96395545780978,3.596898561167051,9.947564094348941e-10,9.194427940357556e-10,8.977015517842784e-10,7.755957335032627e-10,8.872153485427467e-10,8.445630863267166e-10,6.449855540042762e-10,1.363603436134211e-08,1.4743344343207697e-08,7.300352408887654e+18,2.654890344843874e+18,1.6564660808814927e-08,4.18998481964266
1.0,0.0,35.577695015277754,0.968397161057597,1.8780159349731633,8.014363191022545e-10,7.8649310192483e-10,8.754020101839692e-10,9.345674660983507e-10,9.959219291529757e-10,9.732815913623543e-10,5.959335756532211e-10,1.3672782343692432e-08,1.3130251234685202e-08,7.40465277042479e+18,2.8743638372338857e+18,1.4468902750649201e-08,3.3922053832739274
0.0,0.0,-52.46566060907968,1.0799170432924192,4.102088371973574,8.686801188637711e-10,9.499735944143362e-10,8.610401430393856e-10,8.451077710051127e-10,9.68529565823348e-10,9.07486779028457e-10,6.852784573118786e-10,1.4394746647383046e-08,1.4826979151224105e-08,6.595700473989076e+18,2.62396567110518e+18,1.6569596426536463e-08,5.780353658432489
1.0,0.0,-53.747634285407585,1.048362581853303,0.13907673780984672,8.700354420355106e-10,8.420824376721284e-10,9.425833019803745e-10,8.841639265378617e-10,9.571356428252903e-10,8.047464249950187e-10,6.627006016373694e-10,1.4605201534802051e-08,1.3274063140084242e-08,5.882088083706493e+18,2.9904919975875866e+18,1.4998953439087655e-08,2.5566442452762796
1.0,0.0,-11.777208318726423,1.0944365936374083,0.5227020935917112,8.500359516113419e-10,9.629306454959707e-10,7.738438900764107e-10,9.586261111696171e-10,9.137831923842953e-10,8.199302077101734e-10,6.320142585178525e-10,1.3800769097634172e-08,1.2442309362180173e-08,7.101752091664351e+18,3.1427385651969413e+18,1.5877140221408267e-08,6.557594989813323
1.0,1.0,-36.85470451496465,1.0198143020670483,3.310254944513052,7.622620901041165e-10,9.143407587843072e-10,8.797382261379892e-10,9.065981087353612e-10,8.708134654146179e-10,7.736025884045603e-10,6.609829195224241e-10,1.4611702752932186e-08,1.5201792605717856e-08,6.764583796603882e+18,3.1322452637775596e+18,1.52755422123022e-08,0.33976672501257243
